,Generation,FP,FN,Number of Elements
224,38.0,11.6,20.4,34.0
225,38.0,11.6,21.0,30.0
226,38.0,12.2,19.4,61.0
227,38.0,12.4,20.4,21.0
228,38.0,12.8,18.6,42.0
229,38.0,14.0,18.8,28.0
230,38.0,15.4,20.6,20.0
231,38.0,16.2,18.6,36.0
232,38.0,18.8,19.0,25.0
233,38.0,19.0,18.2,42.0
234,39.0,0.0,68.40000000000002,54.0
235,39.0,4.8,60.4,41.0
236,39.0,5.4,41.2,25.0
237,39.0,6.6,39.6,62.0
